Epoch	Train	Validation
epoch: 58, step: 58, time: 0.1, train: 18.423, valid: 17.092, train_acc: 0.098, valid_acc: 0.120
epoch: 59, step: 59, time: 0.3, train: 20.696, valid: 16.901, train_acc: 0.103, valid_acc: 0.136
epoch: 60, step: 60, time: 0.2, train: 17.703, valid: 16.877, train_acc: 0.120, valid_acc: 0.140
epoch: 61, step: 61, time: 0.2, train: 20.456, valid: 17.234, train_acc: 0.085, valid_acc: 0.134
epoch: 62, step: 62, time: 0.1, train: 17.819, valid: 17.189, train_acc: 0.089, valid_acc: 0.136
epoch: 63, step: 63, time: 0.3, train: 17.118, valid: 16.664, train_acc: 0.141, valid_acc: 0.136
epoch: 64, step: 64, time: 0.2, train: 17.690, valid: 16.625, train_acc: 0.144, valid_acc: 0.137
epoch: 65, step: 65, time: 0.2, train: 19.007, valid: 17.141, train_acc: 0.108, valid_acc: 0.133
epoch: 66, step: 66, time: 0.1, train: 17.384, valid: 17.148, train_acc: 0.122, valid_acc: 0.136
epoch: 67, step: 67, time: 0.3, train: 16.747, valid: 16.555, train_acc: 0.149, valid_acc: 0.137
epoch: 68, step: 68, time: 0.2, train: 17.489, valid: 16.553, train_acc: 0.118, valid_acc: 0.139
epoch: 69, step: 69, time: 0.3, train: 20.073, valid: 16.453, train_acc: 0.070, valid_acc: 0.138
epoch: 70, step: 70, time: 0.1, train: 20.913, valid: 16.421, train_acc: 0.081, valid_acc: 0.142
epoch: 71, step: 71, time: 0.2, train: 18.868, valid: 17.039, train_acc: 0.112, valid_acc: 0.139
epoch: 72, step: 72, time: 0.1, train: 19.380, valid: 16.916, train_acc: 0.092, valid_acc: 0.139
epoch: 73, step: 73, time: 0.3, train: 16.515, valid: 16.300, train_acc: 0.144, valid_acc: 0.141
epoch: 74, step: 74, time: 0.2, train: 18.529, valid: 16.241, train_acc: 0.122, valid_acc: 0.141
epoch: 75, step: 75, time: 0.2, train: 18.638, valid: 16.738, train_acc: 0.080, valid_acc: 0.137
epoch: 76, step: 76, time: 0.1, train: 16.788, valid: 16.754, train_acc: 0.132, valid_acc: 0.135
